,dst,src,timestamp
0,202.43.195.13,172.16.2.112,1191858960.592559
1,202.43.195.13,172.16.2.112,1191858964.935736
2,172.16.2.112,202.43.195.13,1191858965.256068
3,202.43.195.13,172.16.2.112,1191858965.940485
4,202.43.195.13,172.16.2.112,1191858965.996532
5,172.16.2.112,202.43.195.13,1191858966.334693
6,172.16.2.112,202.43.195.13,1191858966.334699
7,202.43.195.13,172.16.2.112,1191858966.485775
8,202.43.195.13,172.16.2.112,1191858967.113069
9,203.84.202.164,172.16.2.112,1191858967.116668
10,172.16.2.112,202.43.195.13,1191858967.433336
11,172.16.2.112,203.84.202.164,1191858967.489061
12,203.84.202.164,172.16.2.112,1191858967.49109
13,203.84.202.164,172.16.2.112,1191858967.49113
14,203.84.202.164,172.16.2.112,1191858970.414001
15,172.16.2.112,203.84.202.164,1191858970.488131
16,203.84.202.164,172.16.2.112,1191858970.490438
17,172.16.2.112,203.84.202.164,1191858976.488199
18,203.84.202.164,172.16.2.112,1191858976.507116
19,203.84.202.164,172.16.2.112,1191858976.50868
20,203.84.202.164,172.16.2.112,1191858988.471807
21,172.16.2.112,203.84.202.164,1191858988.488385
22,203.84.202.164,172.16.2.112,1191858988.497429
23,203.84.202.164,172.16.2.112,1191859012.44838
24,203.84.202.164,172.16.2.112,1191859060.402044
25,142.167.230.178,172.16.2.112,1191859097.242273
26,142.167.159.84,172.16.2.112,1191859114.788392
27,172.16.2.112,142.167.159.84,1191859114.968322
28,66.161.11.90,172.16.2.112,1191859175.406998
29,66.161.11.90,172.16.2.112,1191859178.279804
30,172.16.2.112,66.161.11.90,1191859178.479451
31,66.161.11.90,172.16.2.112,1191859178.481702
32,172.16.2.112,66.161.11.90,1191859178.677696
33,203.69.42.35,172.16.2.112,1191859195.398927
34,172.16.2.112,203.69.42.35,1191859195.901376
35,203.69.42.35,172.16.2.112,1191859195.96302
36,203.69.42.35,172.16.2.112,1191859195.963058
37,172.16.2.112,203.69.42.35,1191859196.321481
38,172.16.2.112,203.69.42.35,1191859196.332228
39,203.69.42.35,172.16.2.112,1191859196.34067
40,172.16.2.112,203.69.42.35,1191859196.376281
41,203.69.42.35,172.16.2.112,1191859196.37827
42,172.16.2.112,203.69.42.35,1191859196.760127
43,203.69.42.35,172.16.2.112,1191859196.761877
44,172.16.2.112,203.69.42.35,1191859196.763465
45,203.69.42.35,172.16.2.112,1191859196.76532
46,172.16.2.112,203.69.42.35,1191859196.766698
47,203.69.42.35,172.16.2.112,1191859196.768332
48,172.16.2.112,203.69.42.35,1191859197.152519
49,203.69.42.35,172.16.2.112,1191859197.154418
50,203.69.42.35,172.16.2.112,1191859197.73447
51,87.248.113.14,172.16.2.112,1191859219.442384
52,172.16.2.112,87.248.113.14,1191859219.600074
53,87.248.113.14,172.16.2.112,1191859219.602081
54,87.248.113.14,172.16.2.112,1191859219.602124
55,172.16.2.112,87.248.113.14,1191859219.656394
56,172.16.2.112,87.248.113.14,1191859219.657652
57,172.16.2.112,87.248.113.14,1191859222.600196
58,172.16.2.112,87.248.113.14,1191859228.606172
59,202.43.195.13,172.16.2.112,1191859244.216595
60,202.43.195.13,172.16.2.112,1191859246.404908
61,172.16.2.112,202.43.195.13,1191859246.734199
62,202.43.195.13,172.16.2.112,1191859246.736211
63,202.43.195.13,172.16.2.112,1191859246.736257
64,172.16.2.112,202.43.195.13,1191859247.058049
65,172.16.2.112,202.43.195.13,1191859247.058051
66,202.43.195.13,172.16.2.112,1191859247.06148
67,202.43.195.13,172.16.2.112,1191859247.061512
68,203.84.202.164,172.16.2.112,1191859247.065529
69,172.16.2.112,202.43.195.13,1191859247.38084
70,172.16.2.112,203.84.202.164,1191859247.420778
71,203.84.202.164,172.16.2.112,1191859247.425716
72,203.84.202.164,172.16.2.112,1191859247.425754
73,172.16.2.112,203.84.202.164,1191859250.415268
74,203.84.202.164,172.16.2.112,1191859250.418405
75,203.84.202.164,172.16.2.112,1191859250.418429
76,172.16.2.112,203.84.202.164,1191859256.415438
77,203.84.202.164,172.16.2.112,1191859256.501145
78,203.84.202.164,172.16.2.112,1191859256.501864
79,172.16.2.112,203.84.202.164,1191859268.414441
80,203.84.202.164,172.16.2.112,1191859268.42288
81,203.84.202.164,172.16.2.112,1191859268.46879
82,203.84.202.164,172.16.2.112,1191859292.44591
83,81.216.211.121,172.16.2.112,1191859328.807274
84,172.16.2.112,81.216.211.121,1191859328.966988
85,82.33.129.221,172.16.2.112,1191859331.848543
86,172.16.2.112,82.33.129.221,1191859331.972192
87,203.84.202.164,172.16.2.112,1191859340.400018
88,142.167.159.84,172.16.2.112,1191859381.788944
89,172.16.2.112,142.167.159.84,1191859381.941763
90,142.167.159.84,172.16.2.112,1191859402.752205
91,172.16.2.112,142.167.159.84,1191859402.919393
92,87.223.157.169,172.16.2.112,1191859426.346072
93,172.16.2.112,87.223.157.169,1191859426.445634
94,209.85.135.147,172.16.2.112,1191859446.88023
95,172.16.2.112,209.85.135.147,1191859446.914655
96,209.85.135.147,172.16.2.112,1191859446.923916
97,209.85.135.147,172.16.2.112,1191859446.924247
98,172.16.2.112,209.85.135.147,1191859446.95344
99,172.16.2.112,209.85.135.147,1191859446.958139
100,209.85.135.147,172.16.2.112,1191859446.95983
101,209.85.135.147,172.16.2.112,1191859446.990347
102,209.85.135.147,172.16.2.112,1191859446.994052
103,172.16.2.112,209.85.135.147,1191859447.02383
104,172.16.2.112,209.85.135.147,1191859447.05062
105,209.85.135.147,172.16.2.112,1191859447.052414
